GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,es.javi.cursos.model,Course.Builder,28,41,0,0,7,14,1,7,1,7
,es.javi.cursos.model,Teacher.Builder,13,23,0,0,4,8,1,4,1,4
,es.javi.cursos.model,Teacher,17,45,3,3,4,14,4,6,1,6
,es.javi.cursos.model,Subject,60,17,6,0,16,7,7,5,4,5
,es.javi.cursos.model,Course,78,29,6,0,20,13,8,8,5,8
,es.javi.cursos.model,Subject.Builder,24,23,0,0,7,8,2,4,2,4
,es.javi.cursos,Application,5,3,0,0,2,1,1,1,1,1
,es.javi.cursos.service,TeacherServiceImpl,28,9,0,0,7,4,3,1,3,1
,es.javi.cursos.service,CourseServiceImpl,29,9,0,0,6,4,3,1,3,1
,es.javi.cursos.controller,TeacherController,34,6,0,0,6,3,3,1,3,1
,es.javi.cursos.controller,CourseController,38,6,0,0,6,3,3,1,3,1
