GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,es.javi.cursos.model,Course.Builder,0,69,0,0,0,21,0,8,0,8
,es.javi.cursos.model,Teacher.Builder,13,23,0,0,4,8,1,4,1,4
,es.javi.cursos.model,Teacher,45,17,6,0,11,7,5,5,2,5
,es.javi.cursos.model,Subject,20,57,3,3,5,18,4,8,1,8
,es.javi.cursos.model,Course,26,81,3,3,7,26,4,12,1,12
,es.javi.cursos.model,Subject.Builder,6,41,0,0,2,13,1,5,1,5
,es.javi.cursos,Application,5,3,0,0,2,1,1,1,1,1
,es.javi.cursos.service,TeacherServiceImpl,0,37,0,0,0,11,0,4,0,4
,es.javi.cursos.service,CourseServiceImpl,0,38,0,0,0,10,0,4,0,4
,es.javi.cursos.controller,TeacherController,0,40,0,0,0,9,0,4,0,4
,es.javi.cursos.controller,CourseController,0,44,0,0,0,9,0,4,0,4
